nom du fichier d'enregistrement,differentiel de charge [cm]
p505_2016-08_UTChambre_rampe_1.csv,4.7
p505_2016-08_UTChambre_rampe_2.csv,invalide
p505_2016-08_UTChambre_rampe_3.csv,7.6
