"Titre de tracé : Hobo8"
"#","Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10759805, SEN S/N: 10759805, LBL: Temperarure1)","Tension, V (LGR S/N: 10759805, SEN S/N: 10759805, LBL: Tension)","Hôte connecté (LGR S/N: 10759805)","Arrêté (LGR S/N: 10759805)","Fin de fichier (LGR S/N: 10759805)"
1,11/03/19 10:06:31,202.749,0.07656,,,
2,11/03/19 10:06:54,,,Enregistré,,
3,11/03/19 10:07:31,192.232,0.14221,,,
4,11/03/19 10:08:31,14.226,1.21000,,,
5,11/03/19 10:09:31,14.223,1.21035,,,
6,11/03/19 10:10:31,14.210,1.21054,,,
7,11/03/19 10:11:31,14.208,1.21054,,,
8,11/03/19 10:12:31,14.198,1.21038,,,
9,11/03/19 10:13:31,14.176,1.21035,,,
10,11/03/19 10:14:31,14.182,1.20958,,,
11,11/03/19 10:15:31,14.179,1.21031,,,
12,11/03/19 10:16:31,14.195,1.21298,,,
13,11/03/19 10:17:31,14.180,1.21294,,,
14,11/03/19 10:18:31,14.208,1.21496,,,
15,11/03/19 10:19:31,14.646,1.21366,,,
16,11/03/19 10:20:31,15.870,1.21195,,,
17,11/03/19 10:21:31,17.684,1.21035,,,
18,11/03/19 10:22:31,19.606,1.20958,,,
19,11/03/19 10:23:31,21.316,1.20954,,,
20,11/03/19 10:24:31,22.562,1.21103,,,
21,11/03/19 10:25:31,23.373,1.21252,,,
22,11/03/19 10:26:31,23.910,1.21378,,,
23,11/03/19 10:27:31,24.234,1.21542,,,
24,11/03/19 10:28:31,24.434,1.21637,,,
25,11/03/19 10:29:31,24.558,1.21706,,,
26,11/03/19 10:30:31,24.647,1.21786,,,
27,11/03/19 10:31:31,24.709,1.21798,,,
28,11/03/19 10:32:31,24.741,1.21874,,,
29,11/03/19 10:33:31,24.758,1.21962,,,
30,11/03/19 10:34:31,24.777,1.22007,,,
31,11/03/19 10:35:31,24.803,1.21996,,,
32,11/03/19 10:36:31,24.832,1.22068,,,
33,11/03/19 10:37:31,24.874,1.22126,,,
34,11/03/19 10:38:31,24.882,1.22171,,,
35,11/03/19 10:39:31,24.801,1.22217,,,
36,11/03/19 10:40:31,24.676,1.22286,,,
37,11/03/19 10:41:31,24.599,1.22313,,,
38,11/03/19 10:42:31,24.584,1.22309,,,
39,11/03/19 10:43:31,24.594,1.22339,,,
40,11/03/19 10:44:31,24.603,1.22343,,,
41,11/03/19 10:45:31,24.572,1.22408,,,
42,11/03/19 10:46:31,24.534,1.22366,,,
43,11/03/19 10:47:31,24.528,1.22374,,,
44,11/03/19 10:48:31,24.519,1.22377,,,
45,11/03/19 10:49:31,24.504,1.22416,,,
46,11/03/19 10:50:31,24.480,1.22461,,,
47,11/03/19 10:51:31,24.446,1.22457,,,
48,11/03/19 10:52:31,24.407,1.22461,,,
49,11/03/19 10:53:31,24.428,1.22461,,,
50,11/03/19 10:54:31,24.465,1.22507,,,
51,11/03/19 10:55:31,24.383,1.22530,,,
52,11/03/19 10:56:31,24.315,1.22553,,,
53,11/03/19 10:57:31,24.311,1.22553,,,
54,11/03/19 10:58:31,24.311,1.22576,,,
55,11/03/19 10:59:31,24.297,1.22519,,,
56,11/03/19 11:00:31,24.281,1.22599,,,
57,11/03/19 11:01:31,24.253,1.22568,,,
58,11/03/19 11:02:31,24.228,1.22602,,,
59,11/03/19 11:03:31,24.195,1.22633,,,
60,11/03/19 11:04:31,24.178,1.22629,,,
61,11/03/19 11:05:31,24.146,1.22633,,,
62,11/03/19 11:06:31,24.121,1.22614,,,
63,11/03/19 11:07:31,24.124,1.22625,,,
64,11/03/19 11:08:31,24.106,1.22641,,,
65,11/03/19 11:09:31,24.064,1.22648,,,
66,11/03/19 11:10:31,24.041,1.22633,,,
67,11/03/19 11:11:31,24.024,1.22580,,,
68,11/03/19 11:12:31,23.972,1.22629,,,
69,11/03/19 11:13:31,23.946,1.22667,,,
70,11/03/19 11:14:31,23.896,1.22679,,,
71,11/03/19 11:15:31,23.866,1.22660,,,
72,11/03/19 11:16:31,23.878,1.22660,,,
73,11/03/19 11:17:31,23.839,1.22705,,,
74,11/03/19 11:18:31,23.781,1.22637,,,
75,11/03/19 11:19:31,23.781,1.22633,,,
76,11/03/19 11:20:31,23.779,1.22675,,,
77,11/03/19 11:21:31,23.714,1.22671,,,
78,11/03/19 11:22:31,23.674,1.22618,,,
79,11/03/19 11:23:31,23.677,1.22663,,,
80,11/03/19 11:24:31,23.638,1.22679,,,
81,11/03/19 11:25:31,23.600,1.22648,,,
82,11/03/19 11:26:31,23.594,1.22644,,,
83,11/03/19 11:27:31,23.591,1.22618,,,
84,11/03/19 11:28:31,23.521,1.22690,,,
85,11/03/19 11:29:31,23.499,1.22652,,,
86,11/03/19 11:30:31,23.513,1.22637,,,
87,11/03/19 11:31:31,23.430,1.22595,,,
88,11/03/19 11:32:31,23.408,1.22599,,,
89,11/03/19 11:33:31,23.432,1.22621,,,
90,11/03/19 11:34:31,23.382,1.22629,,,
91,11/03/19 11:35:31,23.337,1.22648,,,
92,11/03/19 11:36:31,23.316,1.22610,,,
93,11/03/19 11:37:31,23.265,1.22641,,,
94,11/03/19 11:38:31,23.220,1.22667,,,
95,11/03/19 11:39:31,23.222,1.22644,,,
96,11/03/19 11:40:31,23.198,1.22560,,,
97,11/03/19 11:41:31,23.142,1.22641,,,
98,11/03/19 11:42:31,23.133,1.22606,,,
99,11/03/19 11:43:31,23.127,1.22641,,,
100,11/03/19 11:44:31,23.070,1.22614,,,
101,11/03/19 11:45:31,23.045,1.22614,,,
102,11/03/19 11:46:31,23.025,1.22576,,,
103,11/03/19 11:47:31,22.994,1.22602,,,
104,11/03/19 11:48:31,22.944,1.22602,,,
105,11/03/19 11:49:31,22.931,1.22591,,,
106,11/03/19 11:50:31,22.919,1.22587,,,
107,11/03/19 11:51:31,22.875,1.22633,,,
108,11/03/19 11:52:31,22.824,1.22572,,,
109,11/03/19 11:53:31,22.815,1.22602,,,
110,11/03/19 11:54:31,22.796,1.22595,,,
111,11/03/19 11:55:31,22.735,1.22587,,,
112,11/03/19 11:56:31,22.730,1.22572,,,
113,11/03/19 11:57:31,22.708,1.22541,,,
114,11/03/19 11:58:31,22.627,1.22625,,,
115,11/03/19 11:59:31,22.604,1.22572,,,
116,11/03/19 12:00:31,22.621,1.22538,,,
117,11/03/19 12:01:31,22.546,1.22580,,,
118,11/03/19 12:02:31,22.526,1.22602,,,
119,11/03/19 12:03:31,22.541,1.22549,,,
120,11/03/19 12:04:31,22.467,1.22553,,,
121,11/03/19 12:05:31,22.422,1.22568,,,
122,11/03/19 12:06:31,22.423,1.22587,,,
123,11/03/19 12:07:31,22.405,1.22549,,,
124,11/03/19 12:08:31,22.348,1.22545,,,
125,11/03/19 12:09:31,22.333,1.22492,,,
126,11/03/19 12:10:31,22.323,1.22511,,,
127,11/03/19 12:11:31,22.250,1.22522,,,
128,11/03/19 12:12:31,22.235,1.22499,,,
129,11/03/19 12:13:31,22.239,1.22522,,,
130,11/03/19 12:14:31,22.155,1.22572,,,
131,11/03/19 12:15:31,22.147,1.22522,,,
132,11/03/19 12:16:31,22.133,1.22515,,,
133,11/03/19 12:17:31,22.081,1.22507,,,
134,11/03/19 12:18:31,22.066,1.22480,,,
135,11/03/19 12:19:31,22.034,1.22492,,,
136,11/03/19 12:20:31,22.008,1.22503,,,
137,11/03/19 12:21:31,21.954,1.22499,,,
138,11/03/19 12:22:31,21.934,1.22499,,,
139,11/03/19 12:23:31,21.927,1.22519,,,
140,11/03/19 12:24:31,21.840,1.22477,,,
141,11/03/19 12:25:31,21.836,1.22454,,,
142,11/03/19 12:26:31,21.864,1.22473,,,
143,11/03/19 12:27:31,21.781,1.22549,,,
144,11/03/19 12:28:31,21.733,1.22450,,,
145,11/03/19 12:29:31,21.758,1.22423,,,
146,11/03/19 12:30:31,21.719,1.22442,,,
147,11/03/19 12:31:31,21.642,1.22461,,,
148,11/03/19 12:32:31,21.652,1.22473,,,
149,11/03/19 12:33:31,21.592,1.22446,,,
150,11/03/19 12:34:31,21.561,1.22454,,,
151,11/03/19 12:35:31,21.528,1.22450,,,
152,11/03/19 12:36:31,21.495,1.22431,,,
153,11/03/19 12:37:31,21.482,1.22457,,,
154,11/03/19 12:38:31,21.431,1.22423,,,
155,11/03/19 12:39:31,21.422,1.22435,,,
156,11/03/19 12:40:31,21.409,1.22412,,,
157,11/03/19 12:41:31,21.337,1.22412,,,
158,11/03/19 12:42:31,21.325,1.22381,,,
159,11/03/19 12:43:31,21.299,1.22404,,,
160,11/03/19 12:44:31,21.254,1.22435,,,
161,11/03/19 12:45:31,21.231,1.22389,,,
162,11/03/19 12:46:31,21.196,1.22423,,,
163,11/03/19 12:47:31,21.185,1.22404,,,
164,11/03/19 12:48:31,21.132,1.22457,,,
165,11/03/19 12:49:31,21.148,1.22404,,,
166,11/03/19 12:50:31,21.100,1.22404,,,
167,11/03/19 12:51:31,21.038,1.22400,,,
168,11/03/19 12:52:31,21.045,1.22431,,,
169,11/03/19 12:53:31,21.029,1.22358,,,
170,11/03/19 12:54:31,20.951,1.22435,,,
171,11/03/19 12:55:31,20.950,1.22381,,,
172,11/03/19 12:56:31,20.915,1.22412,,,
173,11/03/19 12:57:31,20.862,1.22377,,,
174,11/03/19 12:58:31,20.819,1.22381,,,
175,11/03/19 12:59:31,20.787,1.22343,,,
176,11/03/19 13:00:31,20.768,1.22412,,,
177,11/03/19 13:01:31,20.728,1.22358,,,
178,11/03/19 13:02:31,20.698,1.22381,,,
179,11/03/19 13:03:31,20.692,1.22374,,,
180,11/03/19 13:04:31,20.646,1.22370,,,
181,11/03/19 13:05:31,20.589,1.22370,,,
182,11/03/19 13:06:31,20.609,1.22335,,,
183,11/03/19 13:07:31,20.561,1.22354,,,
184,11/03/19 13:08:31,20.504,1.22366,,,
185,11/03/19 13:09:31,20.512,1.22309,,,
186,11/03/19 13:10:31,20.466,1.22358,,,
187,11/03/19 13:11:31,20.408,1.22335,,,
188,11/03/19 13:12:31,20.420,1.22358,,,
189,11/03/19 13:13:31,20.388,1.22396,,,
190,11/03/19 13:14:31,20.317,1.22324,,,
191,11/03/19 13:15:31,20.309,1.22309,,,
192,11/03/19 13:16:31,20.287,1.22332,,,
193,11/03/19 13:17:31,20.228,1.22339,,,
194,11/03/19 13:18:31,20.158,1.22313,,,
195,11/03/19 13:19:31,20.180,1.22313,,,
196,11/03/19 13:20:31,20.167,1.22309,,,
197,11/03/19 13:21:31,20.089,1.22309,,,
198,11/03/19 13:22:31,20.080,1.22335,,,
199,11/03/19 13:23:31,20.054,1.22293,,,
200,11/03/19 13:24:31,20.024,1.22316,,,
201,11/03/19 13:25:31,20.010,1.22309,,,
202,11/03/19 13:26:31,19.978,1.22282,,,
203,11/03/19 13:27:31,19.909,1.22301,,,
204,11/03/19 13:28:31,19.891,1.22305,,,
205,11/03/19 13:29:31,19.885,1.22293,,,
206,11/03/19 13:30:31,19.865,1.22251,,,
207,11/03/19 13:31:31,19.804,1.22316,,,
208,11/03/19 13:32:31,19.783,1.22271,,,
209,11/03/19 13:33:31,19.775,1.22301,,,
210,11/03/19 13:34:31,19.698,1.22290,,,
211,11/03/19 13:35:31,19.692,1.22248,,,
212,11/03/19 13:36:31,19.682,1.22259,,,
213,11/03/19 13:37:31,19.625,1.22236,,,
214,11/03/19 13:38:31,19.584,1.22251,,,
215,11/03/19 13:39:31,19.587,1.22255,,,
216,11/03/19 13:40:31,19.523,1.22267,,,
217,11/03/19 13:41:31,19.469,1.22263,,,
218,11/03/19 13:42:31,19.472,1.22259,,,
219,11/03/19 13:43:31,19.453,1.22187,,,
220,11/03/19 13:44:31,19.408,1.22225,,,
221,11/03/19 13:45:31,19.396,1.22251,,,
222,11/03/19 13:46:31,19.344,1.22232,,,
223,11/03/19 13:47:31,19.309,1.22217,,,
224,11/03/19 13:48:31,19.280,1.22240,,,
225,11/03/19 13:49:31,19.268,1.22236,,,
226,11/03/19 13:50:31,19.219,1.22259,,,
227,11/03/19 13:51:31,19.161,1.22229,,,
228,11/03/19 13:52:31,19.157,1.22194,,,
229,11/03/19 13:53:31,19.142,1.22202,,,
230,11/03/19 13:54:31,19.074,1.22236,,,
231,11/03/19 13:55:31,19.080,1.22171,,,
232,11/03/19 13:56:31,19.068,1.22217,,,
233,11/03/19 13:57:31,18.979,1.22236,,,
234,11/03/19 13:58:31,18.962,1.22194,,,
235,11/03/19 13:59:31,18.977,1.22175,,,
236,11/03/19 14:00:31,18.894,1.22213,,,
237,11/03/19 14:01:31,18.827,1.22168,,,
238,11/03/19 14:02:31,18.809,1.22171,,,
239,11/03/19 14:03:31,18.763,1.22190,,,
240,11/03/19 14:04:31,18.738,1.22183,,,
241,11/03/19 14:05:31,18.702,1.22206,,,
242,11/03/19 14:06:31,18.647,1.22168,,,
243,11/03/19 14:07:31,18.658,1.22183,,,
244,11/03/19 14:08:31,18.616,1.22168,,,
245,11/03/19 14:09:31,18.559,1.22183,,,
246,11/03/19 14:10:31,18.552,1.22148,,,
247,11/03/19 14:11:31,18.527,1.22164,,,
248,11/03/19 14:12:31,18.470,1.22099,,,
249,11/03/19 14:13:31,18.444,1.22152,,,
250,11/03/19 14:14:31,18.442,1.22103,,,
251,11/03/19 14:15:31,18.403,1.22145,,,
252,11/03/19 14:16:31,18.371,1.22114,,,
253,11/03/19 14:17:31,18.328,1.22110,,,
254,11/03/19 14:18:31,18.299,1.22126,,,
255,11/03/19 14:19:31,18.258,1.22087,,,
256,11/03/19 14:20:31,18.247,1.22107,,,
257,11/03/19 14:21:31,18.231,1.22103,,,
258,11/03/19 14:22:31,18.160,1.22122,,,
259,11/03/19 14:23:31,18.127,1.22103,,,
260,11/03/19 14:24:31,18.120,1.22080,,,
261,11/03/19 14:25:31,18.068,1.22099,,,
262,11/03/19 14:26:31,18.051,1.22095,,,
263,11/03/19 14:27:31,18.053,1.22080,,,
264,11/03/19 14:28:31,17.996,1.22068,,,
265,11/03/19 14:29:31,17.961,1.22061,,,
266,11/03/19 14:30:31,17.947,1.22061,,,
267,11/03/19 14:31:31,17.919,1.22057,,,
268,11/03/19 14:32:31,17.885,1.22049,,,
269,11/03/19 14:33:31,17.842,1.22076,,,
270,11/03/19 14:34:31,17.833,1.22023,,,
271,11/03/19 14:35:31,17.784,1.22053,,,
272,11/03/19 14:36:31,17.730,1.22019,,,
273,11/03/19 14:37:31,17.720,1.22065,,,
274,11/03/19 14:38:31,17.699,1.22053,,,
275,11/03/19 14:39:31,17.642,1.22026,,,
276,11/03/19 14:40:31,17.642,1.22004,,,
277,11/03/19 14:41:31,17.601,1.21981,,,
278,11/03/19 14:42:31,17.573,1.22023,,,
279,11/03/19 14:43:31,17.556,1.21988,,,
280,11/03/19 14:44:31,17.529,1.22015,,,
281,11/03/19 14:45:31,17.477,1.21988,,,
282,11/03/19 14:46:31,17.445,1.22007,,,
283,11/03/19 14:47:31,17.443,1.21950,,,
284,11/03/19 14:48:31,17.396,1.21962,,,
285,11/03/19 14:49:31,17.351,1.22007,,,
286,11/03/19 14:50:31,17.333,1.21981,,,
287,11/03/19 14:51:31,17.314,1.21962,,,
288,11/03/19 14:52:31,17.248,1.21962,,,
289,11/03/19 14:53:31,17.220,1.21962,,,
290,11/03/19 14:54:31,17.220,1.21962,,,
291,11/03/19 14:55:31,17.159,1.21939,,,
292,11/03/19 14:56:31,17.116,1.21954,,,
293,11/03/19 14:57:31,17.106,1.21946,,,
294,11/03/19 14:58:31,17.098,1.21962,,,
295,11/03/19 14:59:31,17.046,1.21939,,,
296,11/03/19 15:00:31,17.024,1.21912,,,
297,11/03/19 15:01:31,16.994,1.21920,,,
298,11/03/19 15:02:31,16.941,1.21881,,,
299,11/03/19 15:03:31,16.918,1.21908,,,
300,11/03/19 15:04:31,16.926,1.21901,,,
301,11/03/19 15:05:31,16.871,1.21912,,,
302,11/03/19 15:06:31,16.838,1.21908,,,
303,11/03/19 15:07:31,16.804,1.21923,,,
304,11/03/19 15:08:31,16.781,1.21866,,,
305,11/03/19 15:09:31,16.723,1.21908,,,
306,11/03/19 15:10:31,16.729,1.21862,,,
307,11/03/19 15:11:31,16.701,1.21893,,,
308,11/03/19 15:12:31,16.644,1.21839,,,
309,11/03/19 15:13:31,16.636,1.21901,,,
310,11/03/19 15:14:31,16.621,1.21828,,,
311,11/03/19 15:15:31,16.566,1.21866,,,
312,11/03/19 15:16:31,16.515,1.21847,,,
313,11/03/19 15:17:31,16.499,1.21859,,,
314,11/03/19 15:18:31,16.476,1.21851,,,
315,11/03/19 15:19:31,16.430,1.21843,,,
316,11/03/19 15:20:31,16.418,1.21839,,,
317,11/03/19 15:21:31,16.390,1.21866,,,
318,11/03/19 15:22:31,16.336,1.21836,,,
319,11/03/19 15:23:31,16.295,1.21828,,,
320,11/03/19 15:24:31,16.311,1.21801,,,
321,11/03/19 15:25:31,16.256,1.21874,,,
322,11/03/19 15:26:31,16.225,1.21832,,,
323,11/03/19 15:27:31,16.207,1.21805,,,
324,11/03/19 15:28:31,16.135,1.21782,,,
325,11/03/19 15:29:31,16.102,1.21801,,,
326,11/03/19 15:30:31,16.093,1.21778,,,
327,11/03/19 15:31:31,16.068,1.21824,,,
328,11/03/19 15:32:31,16.022,1.21798,,,
329,11/03/19 15:33:31,16.000,1.21782,,,
330,11/03/19 15:34:31,15.994,1.21763,,,
331,11/03/19 15:35:31,15.946,1.21759,,,
332,11/03/19 15:36:31,15.918,1.21759,,,
333,11/03/19 15:37:31,15.885,1.21771,,,
334,11/03/19 15:38:31,15.865,1.21771,,,
335,11/03/19 15:39:31,15.813,1.21786,,,
336,11/03/19 15:40:31,15.798,1.21771,,,
337,11/03/19 15:41:31,15.788,1.21725,,,
338,11/03/19 15:42:31,15.734,1.21778,,,
339,11/03/19 15:43:31,15.713,1.21748,,,
340,11/03/19 15:44:31,15.701,1.21759,,,
341,11/03/19 15:45:31,15.655,1.21756,,,
342,11/03/19 15:46:31,15.627,1.21744,,,
343,11/03/19 15:47:31,15.591,1.21752,,,
344,11/03/19 15:48:31,15.558,1.21729,,,
345,11/03/19 15:49:31,15.527,1.21763,,,
346,11/03/19 15:50:31,15.502,1.21756,,,
347,11/03/19 15:51:31,15.451,1.21717,,,
348,11/03/19 15:52:31,15.420,1.21729,,,
349,11/03/19 15:53:31,15.396,1.21736,,,
350,11/03/19 15:54:31,15.381,1.21691,,,
351,11/03/19 15:55:31,15.314,1.21698,,,
352,11/03/19 15:56:31,15.281,1.21691,,,
353,11/03/19 15:57:31,15.279,1.21717,,,
354,11/03/19 15:58:31,15.215,1.21683,,,
355,11/03/19 15:59:31,15.200,1.21679,,,
356,11/03/19 16:00:31,15.217,1.21679,,,
357,11/03/19 16:01:31,15.169,1.21660,,,
358,11/03/19 16:02:31,15.128,1.21656,,,
359,11/03/19 16:03:31,15.121,1.21679,,,
360,11/03/19 16:04:31,15.075,1.21668,,,
361,11/03/19 16:05:31,15.034,1.21672,,,
362,11/03/19 16:06:31,14.987,1.21656,,,
363,11/03/19 16:07:31,14.978,1.21675,,,
364,11/03/19 16:08:31,14.946,1.21637,,,
365,11/03/19 16:09:31,14.895,1.21641,,,
366,11/03/19 16:10:31,14.888,1.21637,,,
367,11/03/19 16:11:31,14.845,1.21641,,,
368,11/03/19 16:12:31,14.798,1.21641,,,
369,11/03/19 16:13:31,14.809,1.21645,,,
370,11/03/19 16:14:31,14.746,1.21660,,,
371,11/03/19 16:15:31,14.694,1.21653,,,
372,11/03/19 16:16:31,14.705,1.21622,,,
373,11/03/19 16:17:31,14.671,1.21580,,,
374,11/03/19 16:18:31,14.625,1.21622,,,
375,11/03/19 16:19:31,14.622,1.21618,,,
376,11/03/19 16:20:31,14.568,1.21599,,,
377,11/03/19 16:21:31,14.544,1.21611,,,
378,11/03/19 16:22:31,14.506,1.21614,,,
379,11/03/19 16:23:31,14.483,1.21633,,,
380,11/03/19 16:24:31,14.459,1.21630,,,
381,11/03/19 16:25:31,14.399,1.21622,,,
382,11/03/19 16:26:31,14.358,1.21592,,,
383,11/03/19 16:27:31,14.352,1.21607,,,
384,11/03/19 16:28:31,14.303,1.21599,,,
385,11/03/19 16:29:31,14.291,1.21580,,,
386,11/03/19 16:30:31,14.274,1.21561,,,
387,11/03/19 16:31:31,14.223,1.21580,,,
388,11/03/19 16:32:31,14.156,1.21580,,,
389,11/03/19 16:33:31,14.177,1.21553,,,
390,11/03/19 16:34:31,14.125,1.21557,,,
391,11/03/19 16:35:31,14.101,1.21553,,,
392,11/03/19 16:36:31,14.095,1.21546,,,
393,11/03/19 16:37:31,14.074,1.21546,,,
394,11/03/19 16:38:31,14.014,1.21561,,,
395,11/03/19 16:39:31,13.996,1.21546,,,
396,11/03/19 16:40:31,13.955,1.21557,,,
397,11/03/19 16:41:31,13.925,1.21565,,,
398,11/03/19 16:42:31,13.880,1.21511,,,
399,11/03/19 16:43:31,13.886,1.21477,,,
400,11/03/19 16:44:31,13.852,1.21519,,,
401,11/03/19 16:45:31,13.781,1.21519,,,
402,11/03/19 16:46:31,13.774,1.21508,,,
403,11/03/19 16:47:31,13.736,1.21511,,,
404,11/03/19 16:48:31,13.685,1.21530,,,
405,11/03/19 16:49:31,13.675,1.21504,,,
406,11/03/19 16:50:31,13.675,1.21519,,,
407,11/03/19 16:51:31,13.604,1.21496,,,
408,11/03/19 16:52:31,13.568,1.21458,,,
409,11/03/19 16:53:31,13.563,1.21489,,,
410,11/03/19 16:54:31,13.521,1.21477,,,
411,11/03/19 16:55:31,13.481,1.21443,,,
412,11/03/19 16:56:31,13.469,1.21435,,,
413,11/03/19 16:57:31,13.448,1.21466,,,
414,11/03/19 16:58:31,13.413,1.21450,,,
415,11/03/19 16:59:31,13.353,1.21469,,,
416,11/03/19 17:00:31,13.356,1.21469,,,
417,11/03/19 17:01:31,13.302,1.21427,,,
418,11/03/19 17:02:31,13.279,1.21431,,,
419,11/03/19 17:03:31,13.231,1.21447,,,
420,11/03/19 17:04:31,13.184,1.21424,,,
421,11/03/19 17:05:31,13.159,1.21427,,,
422,11/03/19 17:06:31,13.141,1.21408,,,
423,11/03/19 17:07:31,13.132,1.21424,,,
424,11/03/19 17:08:31,13.090,1.21439,,,
425,11/03/19 17:09:31,13.040,1.21435,,,
426,11/03/19 17:10:31,13.060,1.21393,,,
427,11/03/19 17:11:31,12.984,1.21431,,,
428,11/03/19 17:12:31,12.941,1.21408,,,
429,11/03/19 17:13:31,12.933,1.21393,,,
430,11/03/19 17:14:31,12.892,1.21420,,,
431,11/03/19 17:15:31,12.846,1.21401,,,
432,11/03/19 17:16:31,12.844,1.21447,,,
