dates,tension,temperature,deltaH
23/04/2019 17:43:22,1.28893,25.984,0.02
23/04/2019 17:44:22,1.28943,25.665,0.02
23/04/2019 17:52:22,1.29267,24.753,0.02
23/04/2019 17:56:22,1.29133,24.729,0.02
23/04/2019 17:57:22,1.29175,24.696,0.02
23/04/2019 17:58:22,1.29362,24.702,0.02
23/04/2019 17:59:22,1.29328,24.677,0.02
23/04/2019 18:00:22,1.28977,24.662,0.02
23/04/2019 18:01:22,1.28882,24.661,0.02
23/04/2019 18:02:22,1.28954,24.608,0.02
23/04/2019 18:03:22,1.28981,24.582,0.02
23/04/2019 18:04:22,1.29,24.566,0.02
23/04/2019 18:05:22,1.2903,24.531,0.02
23/04/2019 18:06:22,1.29034,24.508,0.02
23/04/2019 18:07:22,1.29,24.489,0.02
23/04/2019 18:08:22,1.28779,24.454,0.02
23/04/2019 18:09:22,1.2892,24.418,0.02
23/04/2019 18:10:22,1.28916,24.401,0.02
23/04/2019 18:11:22,1.28946,24.398,0.02
23/04/2019 18:12:22,1.29026,24.338,0.02
23/04/2019 18:13:22,1.28931,24.3,0.02
23/04/2019 18:14:22,1.28969,24.299,0.02
23/04/2019 18:15:22,1.28904,24.255,0.02
23/04/2019 18:16:22,1.28923,24.195,0.02
23/04/2019 18:17:22,1.2892,24.175,0.02
23/04/2019 18:18:22,1.29019,24.166,0.02
23/04/2019 18:19:22,1.28706,24.11,0.02
23/04/2019 18:20:22,1.28885,24.07,0.02
23/04/2019 18:21:22,1.28859,24.074,0.02
23/04/2019 18:22:22,1.28866,24.021,0.02
23/04/2019 18:23:22,1.28862,23.973,0.02
23/04/2019 18:24:22,1.28878,23.987,0.02
23/04/2019 18:25:22,1.28809,23.931,0.02
23/04/2019 18:26:22,1.28569,23.889,0.02
23/04/2019 18:27:22,1.2879,23.865,0.02
23/04/2019 18:28:22,1.28737,23.85,0.02
23/04/2019 18:29:22,1.28325,23.808,0.02
23/04/2019 18:30:22,1.28664,23.772,0.02
23/04/2019 18:31:22,1.28729,23.773,0.02
23/04/2019 18:32:22,1.2871,23.711,0.02
23/04/2019 18:33:22,1.28691,23.681,0.02
23/04/2019 18:34:22,1.28725,23.687,0.02
23/04/2019 18:35:22,1.2874,23.629,0.02
23/04/2019 18:36:22,1.28756,23.602,0.02
23/04/2019 18:37:22,1.28721,23.588,0.02
23/04/2019 18:38:22,1.28737,23.543,0.02
23/04/2019 18:39:22,1.28771,23.475,0.02
23/04/2019 18:40:22,1.28355,23.459,0.02
23/04/2019 18:41:22,1.28405,23.447,0.02
23/04/2019 18:42:22,1.2866,23.379,0.02
23/04/2019 18:43:22,1.28492,23.351,0.02
23/04/2019 18:44:22,1.28744,23.327,0.02
23/04/2019 18:45:22,1.28523,23.279,0.02
23/04/2019 18:46:22,1.28527,23.253,0.02
23/04/2019 18:47:22,1.28511,23.264,0.02
23/04/2019 18:48:22,1.28504,23.213,0.02
23/04/2019 18:49:22,1.28496,23.172,0.02
23/04/2019 18:50:22,1.28557,23.15,0.02
23/04/2019 18:51:22,1.28511,23.142,0.02
23/04/2019 18:52:22,1.28412,23.099,0.02
23/04/2019 18:53:22,1.28454,23.075,0.02
23/04/2019 18:54:22,1.28431,23.037,0.02
23/04/2019 18:55:22,1.28416,22.998,0.02
23/04/2019 18:56:22,1.28202,22.97,0.02
23/04/2019 18:57:22,1.28267,22.938,0.02
23/04/2019 18:58:22,1.28359,22.908,0.02
23/04/2019 18:59:22,1.28378,22.854,0.02
23/04/2019 19:00:22,1.28374,22.836,0.02
23/04/2019 19:01:22,1.28313,22.844,0.02
23/04/2019 19:02:22,1.28336,22.787,0.02
23/04/2019 19:03:22,1.28286,22.764,0.02
23/04/2019 19:04:22,1.28233,22.735,0.02
23/04/2019 19:05:22,1.28248,22.67,0.02
23/04/2019 19:06:22,1.28229,22.657,0.02
23/04/2019 19:07:22,1.28145,22.652,0.02
23/04/2019 19:08:22,1.28244,22.603,0.02
23/04/2019 19:09:22,1.28122,22.567,0.02
23/04/2019 19:10:22,1.28111,22.585,0.02
23/04/2019 19:11:22,1.28145,22.543,0.02
23/04/2019 19:12:22,1.28164,22.488,0.02
23/04/2019 19:13:22,1.28134,22.474,0.02
23/04/2019 19:14:22,1.28096,22.447,0.02
23/04/2019 19:15:22,1.28111,22.381,0.02
23/04/2019 19:16:22,1.28008,22.341,0.02
23/04/2019 19:17:22,1.28,22.329,0.02
23/04/2019 19:18:22,1.28,22.299,0.02
23/04/2019 19:19:22,1.28012,22.274,0.02
23/04/2019 19:20:22,1.28023,22.233,0.02
23/04/2019 19:21:22,1.27996,22.233,0.02
23/04/2019 19:22:22,1.27878,22.196,0.02
23/04/2019 19:23:22,1.27718,22.142,0.02
23/04/2019 19:24:22,1.27951,22.114,0.02
