nom du fichier d'enregistrement,differentiel de charge [cm]
p506_2016-07-08_UTenChambre_rampe_1.csv,-2.9
p506_2016-07-08_UTenChambre_rampe_2.csv,0.2
p506_2016-07-08_UTenChambre_rampe_3.csv,3.1
