nom du fichier d'enregistrement,differentiel de charge [cm]
p533_2017-02-01_UTchambre_rampe_1.csv,0
p533_2017-02-01_UTchambre_rampe_2.csv,2.2
p533_2017-02-01_UTchambre_rampe_3.csv,-2
