#,Date Time,Tension Tension (V),Température Temp. (°C)
1,01/07/21 18:37:00,1.17491,23.626
2,01/07/21 18:38:00,1.17067,23.653
3,01/07/21 18:39:00,1.16735,23.690
4,01/07/21 18:40:00,1.16667,23.611
5,01/07/21 18:41:00,1.16697,23.557
6,01/07/21 18:42:00,1.16495,23.582
7,01/07/21 18:43:00,1.16323,23.572
8,01/07/21 18:44:00,1.16220,23.618
9,01/07/21 18:45:00,1.16087,23.638
10,01/07/21 18:46:00,1.16106,23.600
11,01/07/21 18:47:00,1.15911,23.668
12,01/07/21 18:48:00,1.15885,23.624
13,01/07/21 18:49:00,1.15694,23.590
14,01/07/21 18:50:00,1.15949,23.474
15,01/07/21 18:51:00,1.16251,23.381
16,01/07/21 18:52:00,1.16579,23.366
17,01/07/21 18:53:00,1.16747,23.282
18,01/07/21 18:54:00,1.16999,23.160
19,01/07/21 18:55:00,1.17090,23.139
20,01/07/21 18:56:00,1.17170,23.106
21,01/07/21 18:57:00,1.17052,23.106
22,01/07/21 18:58:00,1.16972,23.021
23,01/07/21 18:59:00,1.17025,22.940
24,01/07/21 19:00:00,1.17159,22.848
25,01/07/21 19:01:00,1.17277,22.754
26,01/07/21 19:02:00,1.17292,22.699
27,01/07/21 19:03:00,1.17269,22.637
28,01/07/21 19:04:00,1.17208,22.613
29,01/07/21 19:05:00,1.17025,22.658
30,01/07/21 19:06:00,1.16739,22.691
31,01/07/21 19:07:00,1.16594,22.712
32,01/07/21 19:08:00,1.16419,22.702
33,01/07/21 19:09:00,1.16270,22.673
34,01/07/21 19:10:00,1.16114,22.613
35,01/07/21 19:11:00,1.16167,22.585
36,01/07/21 19:12:00,1.16075,22.613
37,01/07/21 19:13:00,1.15988,22.634
38,01/07/21 19:14:00,1.15839,22.565
39,01/07/21 19:15:00,1.16072,22.526
40,01/07/21 19:16:00,1.16239,22.526
41,01/07/21 19:17:00,1.16297,22.519
42,01/07/21 19:18:00,1.16377,22.513
43,01/07/21 19:19:00,1.16354,22.432
44,01/07/21 19:20:00,1.16617,22.384
45,01/07/21 19:21:00,1.16793,22.345
46,01/07/21 19:22:00,1.16865,22.344
47,01/07/21 19:23:00,1.16838,22.329
48,01/07/21 19:24:00,1.16865,22.314
49,01/07/21 19:25:00,1.16743,22.321
50,01/07/21 19:26:00,1.16644,22.354
51,01/07/21 19:27:00,1.16609,22.309
52,01/07/21 19:28:00,1.16644,22.298
53,01/07/21 19:29:00,1.16728,22.244
54,01/07/21 19:30:00,1.16815,22.239
55,01/07/21 19:31:00,1.16838,22.227
56,01/07/21 19:32:00,1.16819,22.254
57,01/07/21 19:33:00,1.16796,22.257
58,01/07/21 19:34:00,1.16667,22.296
59,01/07/21 19:35:00,1.16579,22.301
60,01/07/21 19:36:00,1.16480,22.329
61,01/07/21 19:37:00,1.16361,22.312
62,01/07/21 19:38:00,1.16369,22.315
63,01/07/21 19:39:00,1.16297,22.312
64,01/07/21 19:40:00,1.16339,22.305
65,01/07/21 19:41:00,1.16350,22.324
66,01/07/21 19:42:00,1.16167,22.336
67,01/07/21 19:43:00,1.16178,22.351
68,01/07/21 19:44:00,1.16300,22.335
69,01/07/21 19:45:00,1.16358,22.377
70,01/07/21 19:46:00,1.16419,22.393
71,01/07/21 19:47:00,1.16430,22.378
