#,Date Time,Tension Tension (V),Température Temp. (°C)
1,05/07/21 10:30:22,1.20066,19.160
2,05/07/21 10:31:22,1.20054,19.075
3,05/07/21 10:32:22,1.20405,18.921
4,05/07/21 10:33:22,1.20043,19.068
5,05/07/21 10:34:22,1.20298,19.032
6,05/07/21 10:35:22,1.20050,19.112
7,05/07/21 10:36:22,1.20306,19.048
8,05/07/21 10:37:22,1.20298,18.903
9,05/07/21 10:38:22,1.20199,18.805
10,05/07/21 10:39:22,1.20310,18.714
11,05/07/21 10:40:22,1.20272,18.937
12,05/07/21 10:41:22,1.20291,18.999
13,05/07/21 10:42:22,1.20211,19.047
14,05/07/21 10:43:22,1.20138,19.045
15,05/07/21 10:44:22,1.20142,19.004
16,05/07/21 10:45:22,1.20104,18.802
17,05/07/21 10:46:22,1.20249,19.010
18,05/07/21 10:47:22,1.20005,19.300
19,05/07/21 10:48:22,1.20104,19.598
20,05/07/21 10:49:22,1.19951,19.598
21,05/07/21 10:50:22,1.20108,19.642
22,05/07/21 10:51:22,1.20249,19.881
23,05/07/21 10:52:22,1.20066,20.153
24,05/07/21 10:53:22,1.20218,20.091
25,05/07/21 10:54:22,1.20214,20.024
26,05/07/21 10:55:22,1.19955,20.278
27,05/07/21 10:56:22,1.19951,20.387
28,05/07/21 10:57:22,1.20069,20.418
29,05/07/21 10:58:22,1.20035,20.691
30,05/07/21 10:59:22,1.20119,20.735
31,05/07/21 11:00:22,1.20245,20.516
32,05/07/21 11:01:22,1.20397,20.207
33,05/07/21 11:02:22,1.20485,19.460
34,05/07/21 11:03:22,1.20439,19.121
35,05/07/21 11:04:22,1.20573,19.080
36,05/07/21 11:05:22,1.20397,19.072
37,05/07/21 11:06:22,1.20493,19.228
38,05/07/21 11:07:22,1.20550,19.292
39,05/07/21 11:08:22,1.20432,19.323
40,05/07/21 11:09:22,1.20306,19.224
41,05/07/21 11:10:22,1.20371,19.246
42,05/07/21 11:11:22,1.20256,19.201
43,05/07/21 11:12:22,1.20211,19.294
44,05/07/21 11:13:22,1.20207,19.325
45,05/07/21 11:14:22,1.20054,18.845
46,05/07/21 11:15:22,1.20058,18.568
47,05/07/21 11:16:22,1.20085,18.490
48,05/07/21 11:17:22,1.20035,18.540
49,05/07/21 11:18:22,1.20104,18.102
50,05/07/21 11:19:22,1.20077,18.191
51,05/07/21 11:20:22,1.20096,18.606
52,05/07/21 11:21:22,1.20062,18.834
53,05/07/21 11:22:22,1.20066,18.836
54,05/07/21 11:23:22,1.20050,18.799
55,05/07/21 11:24:22,1.19982,19.210
