nom du fichier d'enregistrement,differentiel de charge [cm]
p505_calibUT_1.csv,1.6
p505_calibUT_1bis.csv,1.5
p505_calibUT_2.csv,invalide
p505_calibUT_2bis.csv,invalide
p505_calibUT_3.csv,1.9
p505_calibUT_4.csv,-2.1
