dates,tension,temperature,deltaH,experiment
NA,1.223,1.34893288656236,0,p537_2019_02_27_calibUH.csv
NA,1.23,1.34893288656236,-0.01,p537_2019_02_27_calibUH.csv
NA,1.238,1.34893288656236,-0.02,p537_2019_02_27_calibUH.csv
NA,1.249,1.34893288656236,-0.03,p537_2019_02_27_calibUH.csv
NA,1.261,1.34893288656236,-0.042,p537_2019_02_27_calibUH.csv
NA,1.271,1.34893288656236,-0.05,p537_2019_02_27_calibUH.csv
NA,1.279,1.34893288656236,-0.06,p537_2019_02_27_calibUH.csv
NA,1.287,1.34893288656236,-0.07,p537_2019_02_27_calibUH.csv
NA,1.296,1.34893288656236,-0.08,p537_2019_02_27_calibUH.csv
NA,1.309,1.34893288656236,-0.092,p537_2019_02_27_calibUH.csv
NA,1.322,1.34893288656236,-0.1,p537_2019_02_27_calibUH.csv
NA,1.333,1.34893288656236,-0.11,p537_2019_02_27_calibUH.csv
NA,1.342,1.34893288656236,-0.12,p537_2019_02_27_calibUH.csv
NA,1.35,1.34893288656236,-0.13,p537_2019_02_27_calibUH.csv
NA,1.363,1.34893288656236,-0.143,p537_2019_02_27_calibUH.csv
NA,1.372,1.34893288656236,-0.15,p537_2019_02_27_calibUH.csv
NA,1.382,1.34893288656236,-0.16,p537_2019_02_27_calibUH.csv
NA,1.394,1.34893288656236,-0.175,p537_2019_02_27_calibUH.csv
NA,1.412,1.34893288656236,-0.19,p537_2019_02_27_calibUH.csv
NA,1.423,1.34893288656236,-0.2,p537_2019_02_27_calibUH.csv
NA,1.442,1.34893288656236,-0.224,p537_2019_02_27_calibUH.csv
NA,1.457,1.34893288656236,-0.24,p537_2019_02_27_calibUH.csv
NA,1.47,1.34893288656236,-0.25,p537_2019_02_27_calibUH.csv
NA,1.477,1.34893288656236,-0.26,p537_2019_02_27_calibUH.csv
NA,1.491,1.34893288656236,-0.27,p537_2019_02_27_calibUH.csv
NA,1.502,1.34893288656236,-0.28,p537_2019_02_27_calibUH.csv
NA,1.51,1.34893288656236,-0.29,p537_2019_02_27_calibUH.csv
NA,1.519,1.34893288656236,-0.3,p537_2019_02_27_calibUH.csv
NA,1.535,1.34893288656236,-0.32,p537_2019_02_27_calibUH.csv
NA,1.546,1.34893288656236,-0.33,p537_2019_02_27_calibUH.csv
NA,1.556,1.34893288656236,-0.34,p537_2019_02_27_calibUH.csv
NA,1.566,1.34893288656236,-0.35,p537_2019_02_27_calibUH.csv
NA,1.587,1.34893288656236,-0.37,p537_2019_02_27_calibUH.csv
NA,1.609,1.34893288656236,-0.393,p537_2019_02_27_calibUH.csv
