dates,tension,temperature,deltaH,experiment
23/04/2019 17:44:00,1.27001149463075,25.98,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 17:45:00,1.27016149463075,25.665,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 17:46:00,1.27009149463075,25.431,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 17:47:00,1.27031149463075,25.281,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 17:48:00,1.27043149463075,25.143,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 17:49:00,1.27020149463075,25.03,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 17:50:00,1.27005149463075,24.987,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 17:51:00,1.26993149463075,24.937,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 17:52:00,1.27005149463075,24.892,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 17:53:00,1.27028149463075,24.877,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 17:54:00,1.27001149463075,24.882,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 17:55:00,1.27009149463075,24.865,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 17:56:00,1.27005149463075,24.835,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 17:57:00,1.26997149463075,24.809,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 17:58:00,1.26986149463075,24.809,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 17:59:00,1.27009149463075,24.789,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:00:00,1.26970149463075,24.77,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:01:00,1.27005149463075,24.762,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:02:00,1.26978149463075,24.723,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:03:00,1.27009149463075,24.703,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:04:00,1.26936149463075,24.69,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:05:00,1.26970149463075,24.659,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:06:00,1.26970149463075,24.637,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:07:00,1.26948149463075,24.617,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:08:00,1.26917149463075,24.582,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:09:00,1.26936149463075,24.551,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:10:00,1.26940149463075,24.542,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:11:00,1.26948149463075,24.535,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:12:00,1.26909149463075,24.477,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:13:00,1.26887149463075,24.465,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:14:00,1.26894149463075,24.457,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:15:00,1.26894149463075,24.403,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:16:00,1.26894149463075,24.357,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:17:00,1.26864149463075,24.344,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:18:00,1.26875149463075,24.333,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:19:00,1.26894149463075,24.279,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:20:00,1.26913149463075,24.246,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:21:00,1.26848149463075,24.243,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:22:00,1.26799149463075,24.195,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:23:00,1.26829149463075,24.16,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:24:00,1.26864149463075,24.172,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:25:00,1.26825149463075,24.125,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:26:00,1.26803149463075,24.082,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:27:00,1.26848149463075,24.061,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:28:00,1.26848149463075,24.035,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:29:00,1.26791149463075,23.994,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:30:00,1.26806149463075,23.972,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:31:00,1.26803149463075,23.954,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:32:00,1.26787149463075,23.904,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:33:00,1.26764149463075,23.892,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:34:00,1.26803149463075,23.881,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:35:00,1.26799149463075,23.832,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:36:00,1.26753149463075,23.817,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:37:00,1.26738149463075,23.796,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:38:00,1.26768149463075,23.744,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:39:00,1.26768149463075,23.687,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:40:00,1.26768149463075,23.677,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:41:00,1.26726149463075,23.66,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:42:00,1.26734149463075,23.609,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:43:00,1.26722149463075,23.582,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:44:00,1.26738149463075,23.558,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:45:00,1.26730149463075,23.51,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:46:00,1.26692149463075,23.484,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:47:00,1.26661149463075,23.474,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:48:00,1.26684149463075,23.427,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:49:00,1.26696149463075,23.403,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:50:00,1.26669149463075,23.378,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:51:00,1.26654149463075,23.364,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:52:00,1.26700149463075,23.327,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:53:00,1.26673149463075,23.312,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:54:00,1.26597149463075,23.27,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:55:00,1.26635149463075,23.231,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:56:00,1.26669149463075,23.204,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:57:00,1.26589149463075,23.181,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:58:00,1.26623149463075,23.142,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 18:59:00,1.26642149463075,23.094,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 19:00:00,1.26608149463075,23.081,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 19:01:00,1.26589149463075,23.073,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 19:02:00,1.26547149463075,23.028,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 19:03:00,1.26612149463075,23.012,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 19:04:00,1.26551149463075,22.976,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 19:05:00,1.26570149463075,22.929,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 19:06:00,1.26490149463075,22.913,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 19:07:00,1.26589149463075,22.889,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 19:08:00,1.26520149463075,22.847,-0.02,p532_2019_04_24_calibUT_1.csv
23/04/2019 19:09:00,1.26536149463075,22.832,-0.02,p532_2019_04_24_calibUT_1.csv
